eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,bible_offer,trick_or_treat_cutoff,states_lived,work_per_week,exercise_per_week,why_class,states_visited,meals_per_week_campus,sibling,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,born_state_c,born_region_c,fav_band_c,fav_color_c,fav_dining_c,fav_season_c,car_c,first_gen_c,rock_collect_c,rainy_days_c,ai_opinion_c,major_c,major_discipline_c
Order in,Sweet,around once a month,Dinner,0,3,21,3,16.0,2,30,5.0,Major,5.0,0.0,1.0,0,2,Spiderman,No,5.0,15,None of the above,"Yes, but once or only a few times",No,No,Dogs,chocolate,7,Michigan,Midwest,Eminem,Red,Fairhaven,Spring,Yes,No,No,Dislike,,Biochemistry,Life Sciences
No preference,No preference,around once a year,Lunch,0,5,19,1,17.0,1,0,4.0,Major,1.0,3.0,1.0,7,1,Kung fu hustle,Don't know,0.0,14,None of the above,No,No,No,Dogs,vanilla,2,Washington,West Coast,LE SSERAFIM,Purple,,Spring,Yes,Yes,No,Neutral,Somewhat Negative,Biology,Life Sciences
Order in,Sweet,around once a month,Dinner,3,4,19,6,17.0,1,0,1.0,Major,14.0,4.0,1.0,4,2,Brave,Yes,2.0,16,None of the above,No,No,No,No preference,chocolate,2,Washington,West Coast,Joy Division,Purple,Fairhaven,Spring,Yes,No,Yes,Neutral,Very Negative,Geology,Physical Sciences
No preference,Salty,rarely/never,Dinner,10,10,21,2,14.0,2,0,0.0,Major,10.0,0.0,1.0,3,4,Princess and the Frog,No,5.0,19,None of the above,No,No,No,No preference,vanilla,0,California,West Coast,Ateez,Green,Freshens,Spring,Yes,No,Yes,Neutral,Somewhat Negative,Kinesiology,Health Sciences
Eat out,Sweet,around once a month,Lunch,20,8,18,4,11.0,2,0,2.0,Prerequisite,17.0,12.0,4.0,11,4,We Bought a Zoo,No,3.0,18,None of the above,No,No,No,Cats,chocolate,4,Alaska,West Coast,Mt Joy,Red,Viking Union,Summer,No,No,No,Neutral,Very Negative,Political Science,Social Sciences
Eat out,Sweet,around once a month,Dinner,10,2,18,3,14.0,1,0,3.0,Prerequisite,6.0,14.0,2.0,3,1,Cars,Yes,7.0,18,,"Yes, but once or only a few times",No,No,Dogs,chocolate,1,Washington,West Coast,Billy Joel,Green,Fairhaven,Summer,No,No,No,Dislike,Neutral,History,Humanities
Eat out,Sweet,around once a month,Dinner,0,4,21,0,16.0,2,23,10.0,Prerequisite,,0.0,4.0,6,0,Interstellar ,Yes,5.0,14,None of the above,No,No,No,Dogs,chocolate,2,Washington,West Coast,Ye,Blue,,Summer,Yes,Yes,No,Neutral,Neutral,Kinesiology,Health Sciences
Order in,Salty,around once a week,Lunch,2,5,19,1,16.0,2,0,2.0,Major,8.0,9.0,1.0,5,1,Coco,Don't know,7.0,17,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times","Yes, but once or only a few times",Cats,vanilla,4,California,West Coast,boygenius,Purple,Viking Commons,Spring,No,No,No,Neutral,Very Negative,Public Health,Health Sciences
Order in,Salty,around once a year,Dinner,1,1,22,3,14.0,1,0,0.0,Major,8.0,0.0,2.0,2,1,Monsters Inc.,Yes,7.0,18,None of the above,"No, but want to learn","No, but want to learn","No, but want to learn",Cats,chocolate,5,Washington,West Coast,Ghost,Purple,,Fall,Yes,No,Yes,Neutral,Very Negative,Geology,Physical Sciences
Eat out,Salty,rarely/never,Lunch,0,2,23,2,13.0,1,15,3.0,Major,6.0,0.0,1.0,2,2,Charlotte’s Web,No,7.0,14,None of the above,"No, but want to learn",No,No,Cats,chocolate,2,Washington,West Coast,Kings of Leon,Blue,Burrito King,Summer,Yes,No,Yes,Neutral,Somewhat Positive,Public Health,Health Sciences
Order in,Salty,around once a month,Dinner,3,2,21,5,17.0,2,25,3.0,Major,15.0,0.0,1.0,4,1,Harry potter,No,14.0,15,"Pescatarian (no meat, but fish and seafood allowed)","Yes, but once or only a few times","Yes, often",No,Cats,vanilla,7,Oregon,West Coast,Joni Mitchell,Brown,Zoe's Bagels,Fall,Yes,No,Yes,Neutral,Somewhat Negative,Public Health,Health Sciences
Eat out,Sweet,around once a week,Dinner,12,2,19,3,13.0,2,0,9.0,Major,13.0,5.0,1.0,1,2,Remember the Titans,Yes,0.0,13,None of the above,"Yes, often","Yes, often","Yes, but once or only a few times",Dogs,vanilla,7,Virginia,South,Red Hot Chili Peppers,Blue,Ridgeway Commons,Summer,Yes,No,No,Dislike,Somewhat Positive,Biochemistry,Life Sciences
Eat out,Salty,around once a month,Dinner,2,2,19,12,17.0,1,19,4.0,Prerequisite,10.0,19.0,3.0,0,2,Monsters Inc,Yes,3.0,18,"Vegan (no meat, no dairy)","Yes, but once or only a few times","Yes, often",,Cats,vanilla,3,Washington,West Coast,Mt. Joy,Green,Freshens,Summer,No,No,No,Neutral,Neutral,Biology,Life Sciences
Eat out,Sweet,around once a year,Breakfast,35,3,19,1,14.0,2,0,7.0,Major,12.0,10.0,1.0,6,1,Shrek,Don't know,1.0,18,None of the above,"Yes, often","No, but want to learn",No,No preference,chocolate,4,Singapore,International,Malcolm Todd,Orange,Ridgeway Commons,Summer,No,No,No,Neutral,Very Negative,Political Science,Social Sciences
Eat out,Salty,around once a month,Breakfast,1,10,21,3,10.0,1,0,6.0,Major,20.0,21.0,3.0,6,5,Home alone,No,14.0,12,None of the above,No,No,No,Dogs,chocolate,7,Spain,International,Juicy BAE,Pink,Viking Union,Summer,No,No,No,Dislike,Very Positive,Computer Science,Computer Science
Order in,Sweet,around once a month,Dinner,3,7,21,1,10.0,1,0,1.0,Prerequisite,3.0,5.0,3.0,1,3,Tangled,Yes,7.0,14,None of the above,No,No,No,Dogs,vanilla,7,Belize,International,Kelly Clarkson,Blue,Fairhaven,Spring,No,Yes,No,Neutral,Neutral,Biology,Life Sciences
Eat out,Salty,around once a week,Dinner,7,1,22,3,14.0,2,18,3.0,Major,7.0,3.0,2.0,2,0,Star Wars: Revenge of the Sith,Yes,8.0,13,None of the above,No,"No, but want to learn","No, but want to learn",Dislike both,vanilla,4,Washington,West Coast,The 1975,Blue,Ridgeway Commons,Summer,Yes,No,No,Dislike,Neutral,Economics,Social Sciences
Order in,Salty,rarely/never,Dinner,0,3,19,3,13.0,1,30,4.0,Major,4.0,0.0,1.0,2,1,Cars,No,2.0,11,None of the above,No,No,No,Dogs,chocolate,7,Washington,West Coast,Anuel AA,Blue,,Summer,Yes,No,No,Dislike,Somewhat Positive,Business/Finance,Business
Eat out,No preference,around once a month,Dinner,1,2,19,6,11.0,1,0,8.0,Prerequisite,8.0,1.0,0.0,3,1,The parent trap,Don't know,9.0,14,None of the above,No,No,No,No preference,chocolate,7,Washington,West Coast,Billie Eilish,Blue,Ridgeway Commons,Summer,Yes,No,No,Dislike,Neutral,Kinesiology,Health Sciences
Order in,Salty,around once a month,Breakfast,40,3,20,3,15.0,1,20,4.0,Minor,10.0,2.0,1.0,1,1,Labyrinth ,Yes,10.0,17,None of the above,No,No,No,Dogs,chocolate,5,Washington,West Coast,Wolf Alice,Green,VU Coffee Shop,Fall,Yes,Yes,No,Like,Somewhat Negative,Environmental Studies,Physical Sciences
No preference,Salty,around once a year,No preference,3,10,20,8,19.0,1,0,5.0,Prerequisite,5.0,20.0,1.0,1,2,,No,0.0,13,None of the above,No,No,No,Cats,vanilla,7,Washington,West Coast,,Blue,Subway,Fall,No,No,Yes,Dislike,Somewhat Negative,Kinesiology,Health Sciences
Order in,Salty,around once a month,Breakfast,48,4,22,3,14.0,1,48,5.0,Prerequisite,8.0,3.0,1.0,1,11,Baby Driver,No,6.0,15,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,No preference,no preference,7,Washington,West Coast,KISS,Blue,Freshens,Fall,Yes,No,No,Like,Very Negative,Political Science,Social Sciences
Order in,Sweet,around once a year,Dinner,70,7,21,2,12.0,1,0,0.0,Major,7.0,10.0,1.0,3,1,Totoro,No,2.0,13,"Vegetarian (no meat, dairy allowed)",No,No,No,No preference,vanilla,5,Washington,West Coast,Noah Kahan,Purple,Subway,Fall,No,No,No,Neutral,Very Negative,Mathematics,Mathematics
Eat out,No preference,around once a month,No preference,0,1,29,2,15.0,3,0,0.0,Prerequisite,5.0,1.0,3.0,1,0,The Nightmare Before Christmas ,No,7.0,12,None of the above,No,No,No,Cats,chocolate,7,California,West Coast,"Too many (Depeche Mode, Thievery Corporation, Mark Lanegan)",Green,,Fall,Yes,No,Yes,Like,Somewhat Negative,Geology,Physical Sciences
Order in,Salty,around once a month,Dinner,4,4,23,10,17.0,1,24,2.0,Major,4.0,2.0,1.0,1,1,Barbie mermaids ,No,10.0,8,None of the above,No,No,No,Cats,vanilla,5,Washington,West Coast,Elliott smith,Red,Pod Market,Fall,Yes,Yes,Yes,Neutral,Somewhat Negative,Geology,Physical Sciences
Eat out,Salty,around once a month,Dinner,1,1,32,0,12.0,3,0,4.0,Prerequisite,12.0,0.0,3.0,14,3,Star Wars 6,No,10.0,8,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Dogs,chocolate,5,Washington,West Coast,Batushka,Green,Burrito King,Summer,Yes,No,No,Neutral,Very Negative,Nursing,Health Sciences
Order in,Salty,rarely/never,Breakfast,15,8,21,6,12.0,1,20,5.0,Major,6.0,,,1,1,,No,10.0,18,None of the above,No,"Yes, but once or only a few times","Yes, but once or only a few times, No",Cats,chocolate,7,Washington,West Coast,MJ lenderman,Green,Artzen Atrium,Summer,Yes,No,Yes,Neutral,Somewhat Negative,Biology,Life Sciences
Order in,Salty,around once a year,Breakfast,4,2,18,2,15.0,1,0,6.0,Prerequisite,6.0,17.0,2.0,1,3,Wall E,,4.0,15,None of the above,"No, but want to learn",No,No,,chocolate,6,Washington,West Coast,Pavement,Green,Ridgeway Commons,Spring,No,,No,Neutral,Very Negative,History,Humanities
Order in,Sweet,around once a year,Dinner,4,0,18,3,18.0,2,0,0.0,Major,15.0,12.0,2.0,6,0,Ratatouille,Don't know,3.0,18,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Cats,vanilla,2,California,West Coast,Abba,Purple,Ridgeway Commons,Fall,No,No,No,Neutral,Very Negative,Speech/Hearing Sciences,Health Sciences
No preference,Salty,around once a month,Dinner,2,4,19,2,18.0,1,0,2.0,Prerequisite,6.0,8.0,2.0,5,3,Lion king,Don't know,4.0,14,None of the above,"Yes, but once or only a few times",No,No,No preference,vanilla,1,Washington,West Coast,Role model,Green,Ridge Commons,Summer,Yes,Yes,Yes,Neutral,Neutral,Speech/Hearing Sciences,Health Sciences
Eat out,Sweet,around once a week,Breakfast,1,5,21,4,15.0,2,10,5.0,Major,10.0,0.0,2.0,1,0,Sleeping Beauty,Don't know,9.0,16,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,No preference,chocolate,7,Washington,West Coast,10cc,Green,Zoe’S Bagels,Spring,Yes,No,Yes,Like,Very Negative,Speech/Hearing Sciences,Health Sciences
Order in,Salty,around once a month,Lunch,3,19,19,0,16.0,2,0,5.0,Prerequisite,2.0,10.0,3.0,4,3,None ,Yes,5.0,14,None of the above,"No, but want to learn",No,No,Dogs,vanilla,4,Peru,International,Ariana Grande,Blue,,Spring,No,No,No,Like,Neutral,Nursing,Health Sciences
Eat out,Salty,around once a week,Dinner,4,2,20,2,13.0,1,0,11.0,Major,26.0,0.0,1.0,20,0,,No,0.0,18,None of the above,"Yes, often","Yes, often",,Dogs,chocolate,0,Washington,West Coast,,Orange,Fairhaven,Winter,No,No,No,Like,Somewhat Positive,Public Health,Health Sciences
Eat out,No preference,around once a year,Dinner,4,3,20,4,13.0,2,0,3.0,Major,27.0,5.0,1.0,10,1,The Lego Movie,No,2.0,13,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Cats,chocolate,0,California,West Coast,Hall and Oates,Red,Freshens,Summer,No,No,Yes,Neutral,Somewhat Negative,Biochemistry,Life Sciences
Order in,Salty,around once a year,Dinner,50,10,19,3,12.0,1,0,2.0,Major,27.0,0.0,1.0,1,0,Tangled,No,0.0,17,"Vegetarian (no meat, dairy allowed)",No,No,No,Cats,chocolate,5,Washington,West Coast,Stray Kids,Green,,Spring,No,No,Yes,Like,Very Negative,Geology,Physical Sciences
Order in,Salty,around once a week,Breakfast,0,3,19,3,19.0,1,0,6.0,Major,10.0,0.0,3.0,2,4,ponyo,Don't know,0.0,14,None of the above,"No, but want to learn","No, but want to learn",No,No preference,vanilla,7,Washington,West Coast,,Blue,,Summer,No,No,No,Dislike,Very Positive,Kinesiology,Health Sciences
No preference,No preference,more than once a week,Lunch,3,14,21,10,17.0,1,24,8.0,Prerequisite,4.0,2.0,1.0,3,1,Planet 51,Yes,15.0,15,None of the above,"Yes, often",,,No preference,vanilla,1,Russia,International,Slaughter to prevail,Green,,,Yes,Yes,No,Like,Somewhat Negative,Kinesiology,Health Sciences
Order in,Sweet,around once a month,Dinner,10,2,19,3,15.0,2,7,6.0,Prerequisite,20.0,5.0,1.0,13,3,The Iron Giant,Yes,5.0,14,None of the above,"No, but want to learn","Yes, but once or only a few times",No,Dogs,vanilla,7,United Kingdom,International,Taylor Swift,Purple,Viking Union,Fall,Yes,No,No,Dislike,Very Negative,Kinesiology,Health Sciences
No preference,No preference,rarely/never,No preference,10,2,21,2,14.0,1,20,1.0,Major,10.0,4.0,2.0,1,3,Back to the future ,No,5.0,15,None of the above,"No, but want to learn","No, but want to learn","No, but want to learn",No preference,vanilla,7,Washington,West Coast,,Green,Fairhaven,Spring,Yes,No,Yes,Like,Somewhat Negative,Geology,Physical Sciences
Order in,Sweet,rarely/never,Breakfast,5,6,21,8,14.0,2,0,5.0,Major,40.0,1.0,2.0,10,0,Sleeping Beauty,Yes,21.0,15,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times",No,Dogs,vanilla,3,Florida,South,Fleetwood Mac,Yellow,Starbucks,Summer,No,No,No,Like,Very Negative,Kinesiology,Health Sciences
No preference,Salty,rarely/never,Breakfast,6,1,19,3,13.0,3,3,7.0,Major,10.0,0.0,1.0,6,2,Lion King,No,5.0,16,"Vegetarian (no meat, dairy allowed)",No,"Yes, but once or only a few times","Yes, but once or only a few times",Dogs,vanilla,7,Pennsylvania,Other US,Billy Strings,Green,Subway,Spring,No,No,Yes,Like,Very Negative,Geology,Physical Sciences
Eat out,Sweet,around once a year,Dinner,4,4,20,3,13.0,1,13,6.0,Major,15.0,0.0,3.0,0,2,How to train your dragon,No,2.0,17,None of the above,No,No,No,Cats,chocolate,5,Washington,West Coast,Bad Bunny,Purple,Freshens,Summer,No,No,No,Like,Neutral,Kinesiology,Health Sciences
No preference,Salty,rarely/never,No preference,0,2,18,1,,1,0,,Major,5.0,14.0,1.0,0,0,,Don't know,0.0,18,None of the above,No,No,No,Cats,vanilla,0,Washington,West Coast,Yellow Magic Orchestra,Green,,Fall,No,No,No,Dislike,Neutral,Computer Science,Computer Science
Eat out,Sweet,rarely/never,Breakfast,1,4,22,7,14.0,1,20,5.0,Major,9.0,0.0,2.0,10,0,Finding Nemo ,Yes,10.0,18,None of the above,"Yes, often","Yes, often","No, but want to learn",Cats,vanilla,7,Washington,West Coast,Phoebe bridgers,Pink,Zoe’S,Spring,Yes,No,Yes,Like,Somewhat Negative,Geology,Physical Sciences
Eat out,No preference,rarely/never,Dinner,1,2,17,3,17.0,1,0,0.0,Prerequisite,8.0,12.0,1.0,0,3,Charlie and the Chocolate Factory,Don't know,0.0,14,None of the above,No,"Yes, but once or only a few times","Yes, but once or only a few times",No preference,chocolate,5,Washington,West Coast,SZA,Orange,Viking Commons,Spring,Yes,No,No,Neutral,Somewhat Positive,Education,Humanities
Eat out,Salty,around once a month,Dinner,0,1,19,7,12.0,1,13,3.0,Major,11.0,0.0,0.0,6,0,Parent Trap,No,5.0,17,None of the above,"Yes, often","Yes, often",No,Cats,chocolate,7,Washington,West Coast,The Head and The Heart,Green,Starbucks,Spring,Yes,No,No,Dislike,Very Negative,Speech/Hearing Sciences,Health Sciences
Order in,Salty,around once a year,Lunch,12,3,21,1,0.0,3,0,1.0,Major,20.0,1.0,1.0,2,4,Finding Nemo,No,4.0,13,None of the above,No,No,No,Dogs,vanilla,1,Virginia,South,,Gray,Fairhaven,,Yes,No,Yes,Neutral,Somewhat Negative,Geology,Physical Sciences
Order in,Salty,around once a year,Dinner,45,6,21,15,13.0,7,6,3.0,Prerequisite,25.0,0.0,3.0,3,4,princess and the frog,No,,17,None of the above,No,No,No,Cats,chocolate,4,Tennessee,South,Adrianne Lenker,Purple,Miller Market,Fall,No,No,Yes,Like,Very Negative,English,Humanities
Eat out,Sweet,around once a month,Dinner,0,3,20,4,18.0,2,0,7.0,Prerequisite,11.0,0.0,2.0,4,0,Up,Yes,5.0,15,None of the above,No,No,No,Dogs,vanilla,7,Washington,West Coast,Zach bryan,Green,Freshens,Spring,Yes,No,No,Like,Neutral,Kinesiology,Health Sciences
Eat out,Sweet,rarely/never,Dinner,4,7,22,4,12.0,1,0,8.0,Major,30.0,5.0,1.0,25,2,Incredibles,Yes,2.0,15,None of the above,"Yes, often",No,No,Cats,chocolate,4,Wisconsin,Midwest,Brandi Carlile,Green,Zoe’S,Spring,No,No,Yes,Like,Very Negative,Geology,Physical Sciences
Eat out,Salty,around once a month,Lunch,24,1,19,1,14.0,1,14,,Prerequisite,4.0,10.0,2.0,0,2,My Neighbor Tortoro,No,12.0,13,None of the above,No,No,No,No preference,no preference,3,Washington,West Coast,,Yellow,Ridgeway Commons,Fall,No,No,No,Neutral,Very Negative,English,Humanities
Order in,Salty,rarely/never,Dinner,2,5,20,0,13.0,1,13,0.0,Prerequisite,4.0,14.0,2.0,3,5,My Neighbor Totoro,Don't know,0.0,14,"Vegetarian (no meat, dairy allowed)",No,No,No,Cats,vanilla,5,Washington,West Coast,My Chemical Romance,Red,Fairhaven,Fall,No,No,No,Like,Somewhat Negative,Speech/Hearing Sciences,Health Sciences
No preference,Sweet,around once a month,No preference,2,1,20,7,14.0,1,0,0.0,Prerequisite,1.0,10.0,0.0,0,1,Robot,No,4.0,16,None of the above,No,No,No,No preference,no preference,3,Washington,West Coast,Kendrick Lamar,Blue,Viking Union,Winter,No,No,Yes,Like,Very Negative,Geology,Physical Sciences
Eat out,Salty,around once a month,Breakfast,12,5,19,1,19.0,2,0,4.0,Prerequisite,13.0,12.0,1.0,5,1,Fantastic Mr. Fox,Don't know,10.0,17,None of the above,No,No,No,Cats,vanilla,5,Oregon,West Coast,Hozier,Green,Ridgeway Commons,Fall,No,No,Yes,Like,Very Negative,Undecided,Undecided
Order in,Sweet,around once a month,Breakfast,3,18,19,1,17.0,3,0,1.0,Prerequisite,21.0,9.0,0.0,0,1,Tangled,,1.0,14,None of the above,No,No,No,No preference,no preference,6,California,West Coast,Panic! at the Disco,Green,Subway,Spring,No,Yes,Yes,Like,Somewhat Negative,Biology,Life Sciences
Eat out,Sweet,around once a month,Dinner,0,2,18,5,12.0,1,0,2.0,Prerequisite,9.0,10.0,1.0,2,2,Fantastic Mr Fox,No,5.0,17,None of the above,"No, but want to learn",No,No,Dogs,chocolate,6,Washington,West Coast,Drake,Purple,Viking Commons,Winter,No,No,No,Like,Very Negative,Kinesiology,Health Sciences
Order in,Sweet,around once a year,Lunch,6,2,19,3,17.0,2,0,0.0,Major,4.0,10.0,2.0,0,0,Book of Life,Yes,2.0,17,None of the above,No,"Yes, but once or only a few times",No,Cats,chocolate,3,California,West Coast,Maroon 5,Red,Zoe's Bagels,Fall,No,Yes,Yes,Like,Somewhat Negative,Public Health,Health Sciences
Eat out,Salty,around once a month,Breakfast,3,4,21,1,21.0,2,19,0.0,Prerequisite,16.0,0.0,1.0,1,0,Home Alone,Don't know,7.0,14,None of the above,No,No,No,Cats,vanilla,7,Missouri,Midwest,Car seat headrest,Purple,,Fall,No,No,No,Like,Very Negative,English,Humanities
Order in,Sweet,rarely/never,Breakfast,10,2,19,3,0.0,1,5,7.0,Major,7.0,0.0,1.0,2,3,How to train your deagon,Yes,0.0,15,"Vegetarian (no meat, dairy allowed)",No,"Yes, but once or only a few times",No,No preference,vanilla,6,Colorado,Mountain West,I don’t know,Green,,Fall,Yes,No,Yes,Like,Somewhat Negative,Kinesiology,Health Sciences
Order in,Salty,rarely/never,Dinner,3,5,18,2,16.0,1,0,4.0,Major,4.0,15.0,1.0,4,6,robots,No,4.0,14,None of the above,No,"Yes, but once or only a few times",No,Dogs,chocolate,3,Washington,West Coast,the smiths,Green,Ridgeway Commons,Summer,No,No,No,Neutral,Somewhat Negative,Psychology,Social Sciences
Order in,Salty,rarely/never,Breakfast,15,7,20,4,11.0,3,0,5.0,Major,19.0,0.0,0.0,0,2,Mamma Mia ,No,14.0,14,"Pescatarian (no meat, but fish and seafood allowed)","No, but want to learn","No, but want to learn","No, but want to learn",Dogs,vanilla,7,South Dakota,Midwest,Noah Kahan,Blue,,Fall,Yes,No,Yes,Like,Very Negative,Biology,Life Sciences
