ckregwt,ckregvol,ckdietwt,ckdtvol,ppregwt,ppregvol,ppdietwt,ppdtvol
.8192,12.3,.7773,12.1,.8258,12.4,.7925,12.3
.8150,12.1,.7758,12.1,.8156,12.2,.7868,12.2
.8163,12.2,.7896,12.3,.8211,12.2,.7846,12.2
.8211,12.3,.7868,12.3,.8170,12.2,.7938,12.3
.8181,12.2,.7844,12.2,.8216,12.2,.7861,12.2
.8247,12.3,.7861,12.3,.8302,12.4,.7844,12.2
.8062,12.0,.7806,12.2,.8192,12.2,.7795,12.2
.8128,12.1,.7830,12.2,.8192,12.2,.7883,12.3
.8172,12.2,.7852,12.2,.8271,12.3,.7879,12.2
.8110,12.1,.7879,12.3,.8251,12.3,.7850,12.3
.8251,12.3,.7881,12.3,.8227,12.2,.7899,12.3
.8264,12.3,.7826,12.3,.8256,12.3,.7877,12.2
.7901,11.8,.7923,12.3,.8139,12.2,.7852,12.2
.8244,12.3,.7852,12.3,.8260,12.3,.7756,12.1
.8073,12.1,.7872,12.3,.8227,12.2,.7837,12.2
.8079,12.1,.7813,12.2,.8388,12.5,.7879,12.2
.8044,12.0,.7885,12.3,.8260,12.3,.7839,12.2
.8170,12.2,.7760,12.1,.8317,12.4,.7817,12.2
.8161,12.2,.7822,12.2,.8247,12.3,.7822,12.2
.8194,12.2,.7874,12.3,.8200,12.2,.7742,12.1
.8189,12.2,.7822,12.2,.8172,12.2,.7833,12.2
.8194,12.2,.7839,12.2,.8227,12.3,.7835,12.2
.8176,12.2,.7802,12.1,.8244,12.3,.7855,12.2
.8284,12.4,.7892,12.3,.8244,12.2,.7859,12.2
.8165,12.2,.7874,12.2,.8319,12.4,.7775,12.1
.8143,12.2,.7907,12.3,.8247,12.3,.7833,12.2
.8229,12.3,.7771,12.1,.8214,12.2,.7835,12.2
.8150,12.2,.7870,12.2,.8291,12.4,.7826,12.2
.8152,12.2,.7833,12.3,.8227,12.3,.7815,12.2
.8244,12.3,.7822,12.2,.8211,12.3,.7791,12.1
.8207,12.2,.7837,12.3,.8401,12.5,.7866,12.3
.8152,12.2,.7910,12.4,.8233,12.3,.7855,12.2
.8126,12.1,.7879,12.3,.8291,12.4,.7848,12.2
.8295,12.4,.7923,12.4,.8172,12.2,.7806,12.2
.8161,12.2,.7859,12.3,.8233,12.4,.7773,12.1
.8192,12.2,.7811,12.2,.8211,12.3,.7775,12.1