commute,work,age,dessert,state,siblings,role
5,30,25,Ice cream,California ,2,mother
10,25,24,Chocolate,Washington ,3,friend
30,35,20,Cookies,India,1,uncle
20,30,20,Cake or cupcakes,North Dakota,3,mother
30,15,27,Ice cream,Oregon,0,mother
40,0,29,Coconut Macaroons,Vietnam,1,mother
30,0,32,Chocolate,Washington,2,other
10,0,19,Pie,United States,2,mother
15,0,17,Ice cream,Washington,2,mother
5,20,20,Ice cream,US,3,brother
2,0,42,Pie,Sedro Woolley Washington ,2,mother
18,0,36,Pie,Alabama,5,friend
7,2,19,Cookies,japan,2,mother
12,40,23,Cookies,Wa,3,mother
10,32,21,Pie,Mount Vernon,2,mother
12,40,23,Cookies,Wa,4,mother
10,45,49,Cake or cupcakes,Texas,2,mother
45,0,17,Brownies,Brazil,4,brother
25,40,26,Cookies,Washington ,4,mother
10,0,15,Ice cream,Washington,10,father
20,28,19,Ice cream,Washington (Mount Vernon),4,na
7,20,20,Other candy,Mexico,2,mother
20,40,37,Other candy,Washington,3,mother
50,10,18,Ice cream,"I was born in Bellingham, WA ",2,mother
20,20,18,Cake or cupcakes,Washington State,1,other
90,0,18,Ice cream,"Seattle, Washington",2,mother
15,30,19,Cookies,Washington,5,father
25,12,17,Brownies,Washington,2,uncle
20,0,32,Pie,Washington,5,grandma
15,18,18,Cookies,Washington,3,mother
5,8,20,Peanut Butter Oreo's,Washington ,6,father
30,10,19,Ice cream,Washington,5,father
45,0,24,Cake or cupcakes,South Korea,1,husband
20,30,20,Brownies,Washington,2,mother
12,10,22,Cake or cupcakes,US,3,grandpa
15,36,38,Chocolate,PHILIPPINES,4,mother
135,0,20,Ice cream,Japan,2,mother
10,20,21,Ice cream,No,3,other
5,15,19,Fruit tart,Washington,2,father
24,0,20,Ice cream,California,6,father
5,25,1999,"Ice cream, chocolate, brownies, cookies",Viet Nam,1,mother
5,21,22,Brownies,china,0,mother
50,20,28,Pie,Virginia ,4,other
50,10,17,Gelato,Washington,2,father
20,35,25,Brownies,California,1,other
30,35,23,Ice cream,Anacortes,3,grandma
15,15,19,I like everything on here,Canada ,1,other
5,20,20,Brownies,Washington ,3,mother
15,4,20,Ice cream,Washington,2,mother
25,10,17,Ice cream,Washington ,5,other
30,0,20,Gobstopper,"Plantation, Florida",2,mother
25,30,21,Cookies,Washington,2,brother
45,25,18,Chocolate,Washington,7,mother
30,12,19,Pie,washington,1,mother
15,18,18,Ice cream,Washington,1,mother
3,20,25,Ice cream,Washington,2,boyfriend
180,10,18,Ice cream,China,0,mother
20,10,17,Brownies,Tennessee ,4,mother
45,0,60,Ice cream,Canada,6,other
35,0,18,Ice cream,Washington,1,other
15,30,21,Cake or cupcakes,US,1,mother
25,24,24,"Don't compliment myself, strict diet",Mexico,6,uncle
25,8,18,Cookies,Washington,1,mother
15,0,18,Ice cream,Hawaii,0,uncle
30,25,19,Cake or cupcakes,Washington,4,grandpa
90,0,21,Ice cream,"Seattle, Washington",0,mother
15,8,19,Ice cream,Washington,2,mother
30,20,21,Any combination of fruit in cream.,United States,1,uncle
3,0,18,Ice cream,Washington,1,other
10,0,2000,Chocolate,Vietnam,1,other
15,0,22,Ice cream,Washington,9,father
10,0,1998,Brownies,Japan,0,grandma
5,0,20,Cookies,Japan,2,mother
5,20,22,Ice cream,China,0,other
35,24,19,Ice cream,Washington,0,grandpa
15,10,31,Pie,Washington,1,other
25,37,25,Ice cream,Washington,2,wife
15,0,19,Ice cream,California,2,father
45,10,22,Ice cream,washington ,2,other
3,0,20,Chocolate,Japan,1,other
20,20,18,Brownies,"Mt. Vernon, WA",7,other
25,35,20,Ice cream,Washington,1,friend
30,22,18,anything about matcha,China,1,other
15,35,44,I don't eat dessert.,Arizona,1,other
15,23,20,Ice cream,Washington,1,father
3,0,18,Pie,Washington,0,mother
17,8,20,Chocolate,Mexico,1,aunt
20,20,17,Other candy,Washington,2,other
240,10,22,Ice cream,1995.0307 china,0,mother
10,0,22,Chocolate,Washington,2,mother
50,0,22,Ice cream,Thailand,1,other
45,0,35,Ice cream,"Grand Junction, CO ",6,son
120,0,19,Ice cream,China,1,mother
20,25,18,Chocolate,"Mount Vernon, Washington",4,mother
4,0,19,Ice cream,Washington,2,other
180,25,61,Just the icing off the top of a cake,Illinois,5,wife
25,0,19,Chocolate,Washington ,2,grandma