Gender,Age,Height,Coins,Keys,Credit,Pulse,Exercise,Smoke,ColorBlind,Hand
Female,19,64.0,0,3,0,97,2,2,2,2
Female,28,67.5,100,5,0,88,1,2,2,2
Male,19,68.0,0,0,1,69,1,2,1,2
Male,20,70.5,23,4,2,67,1,2,2,1
Female,18,65.0,35,5,5,83,1,2,2,2
Female,17,63.0,185,6,0,77,1,2,2,2
Male,18,75.0,0,3,0,66,2,2,2,2
Female,48,64.0,0,3,0,60,2,2,2,1
Female,19,68.8,43,3,0,78,2,2,2,2
Female,17,57.0,35,3,0,73,1,1,2,1
Female,35,63.0,250,10,2,8,1,2,2,2
Female,18,64.0,178,5,10,67,1,1,2,2
Male,19,72.0,10,2,1,55,1,2,2,2
Female,28,67.0,90,5,0,72,1,1,2,2
Female,24,62.5,0,8,14,82,1,1,2,1
Female,30,63.0,200,1,10,70,1,2,2,2
Male,21,69.0,0,5,0,47,1,2,2,1
Male,19,68.0,40,4,2,63,1,1,2,2
Male,19,68.0,73,2,0,52,2,1,2,2
Male,24,68.0,20,2,1,55,1,2,2,2
Female,22,5.0,500,4,1,67,1,2,2,2
Male,21,69.0,0,2,1,75,2,2,2,1
Male,19,69.0,0,3,3,76,1,2,2,2
Female,19,60.0,35,10,0,60,2,2,2,2
Male,20,69.0,130,3,0,84,1,2,2,2
Male,30,73.0,62,10,1,40,1,2,2,2
Male,33,74.0,5,7,8,64,1,2,2,2
Male,19,67.0,0,3,0,72,2,2,2,2
Male,18,70.0,0,5,1,72,1,2,2,2
Male,20,70.0,0,3,5,75,1,2,1,2
Female,18,76.0,0,3,0,80,2,2,2,2
Male,20,68.0,32,2,4,63,1,2,2,2
Male,50,72.0,74,8,4,72,2,2,2,2
Female,20,65.0,14,4,4,90,1,1,2,2
Male,18,68.0,25,2,0,70,2,2,2,2
Female,18,64.0,0,2,0,100,2,2,2,2
Female,18,64.0,25,1,0,69,1,2,2,2
Male,22,68.0,0,5,5,64,1,2,2,2
Female,21,64.0,27,2,2,80,2,2,2,2
Male,41,72.0,76,2,0,60,2,1,2,2
Male,18,68.0,160,3,0,66,2,1,2,2
Male,21,68.0,34,26,0,78,1,2,2,2
Female,17,60.0,75,3,0,60,2,1,2,2
Female,40,64.0,20,10,5,68,1,2,2,2
Male,19,74.0,0,1,3,72,1,2,2,2
Male,19,69.0,0,5,0,60,1,2,2,2
Female,28,68.0,453,5,7,88,1,1,2,2
Female,28,64.0,0,3,0,58,1,2,2,2
Female,19,63.0,79,6,0,88,1,2,2,1
Female,41,63.0,100,6,3,80,2,2,2,2
Male,18,71.0,25,2,1,61,1,2,2,2
Male,18,73.0,181,6,0,67,2,2,2,2
Male,21,71.0,72,3,4,60,1,1,2,2
Male,18,73.0,0,5,0,80,1,2,2,2
Male,22,69.0,75,12,5,60,1,1,2,2
Female,22,69.0,0,3,5,80,1,2,2,2
Male,21,72.0,0,4,0,68,1,1,2,2
Female,26,60.0,25,15,0,78,1,2,2,2
Male,21,72.0,97,2,0,54,1,2,2,2
Male,20,54.0,0,5,5,81,2,2,2,2
Female,19,65.0,0,8,0,67,2,2,2,2
Male,22,66.0,30,8,4,70,1,2,2,2
Male,20,76.0,0,6,1,63,1,2,2,2
Male,19,71.0,0,7,0,90,1,2,1,2
Male,36,73.0,18,11,4,70,2,2,2,2
Male,20,71.0,0,5,1,69,2,2,1,2
Male,19,71.0,50,7,0,69,2,1,2,2
Female,18,67.5,0,4,0,75,2,1,2,2
Female,19,64.0,0,3,1,80,1,1,2,2
Male,52,71.7,51,4,5,92,2,2,2,2
Female,41,68.0,800,7,4,72,2,2,2,2
Male,20,69.0,0,3,3,63,1,1,2,2
Male,20,72.0,85,3,1,60,1,2,2,2
Female,30,63.0,111,5,0,78,2,2,2,2
Male,21,73.0,77,5,0,77,1,2,2,2
Male,21,70.0,35,5,4,71,1,1,2,2
Female,34,65.5,300,4,2,15,2,2,2,2
Male,19,69.0,36,5,0,83,2,1,2,2
Male,20,69.0,0,2,0,80,1,2,2,2
Male,20,69.0,0,1,1,71,1,2,2,2
Female,20,66.0,45,4,0,86,2,2,2,2
Female,36,64.5,116,3,8,65,1,2,2,2
Male,19,68.0,52,4,2,70,1,2,2,2
Female,20,67.0,358,7,7,76,1,2,2,2
Male,19,71.0,0,4,0,78,1,1,2,2
Male,19,72.0,15,10,1,63,1,2,2,1
Male,19,71.0,1,0,0,52,1,1,2,2
Male,25,71.0,25,4,1,78,2,2,2,1
Female,29,64.0,26,6,3,92,2,2,2,2
Male,19,81.0,0,4,3,48,1,2,2,2
Female,17,67.5,0,3,0,68,1,2,2,2
Female,19,68.0,0,8,1,85,2,2,2,2
Male,24,73.0,0,14,0,64,1,2,2,1
Female,19,63.0,0,3,4,65,2,2,2,2
Female,18,64.0,25,3,0,,1,2,2,2
Female,23,69.0,0,3,26,,2,1,2,1
Male,19,60.0,50,4,0,,1,2,2,2
Male,19,72.0,83,6,2,,1,1,2,2
Female,21,67.0,50,3,8,,1,2,2,2
Male,20,74.0,0,6,0,,2,1,2,1