workhours,bedtime,bedtime_n,favtime,,tiktok,social,god,marvel,born,siblings
5,11:00:00 PM,11,9:00:00 PM,,No,10,No,Never,Other state in US,0
0,12:00:00 AM,12,11:00:00 AM,,No,3,No,Rarely,WA city outside Whatcom county,1
19,11:00:00 PM,11,11:00:00 AM,,Yes,2,No,Rarely,Other state in US,3
0,10:30:00 PM,10.5,8:00:00 AM,,Yes,3,Yes,Never,WA city outside Whatcom county,1
20,12:30:00 AM,12.5,8:00:00 PM,,Yes,2,Yes,Rarely,Somewhere outside the US,2
3,12:00:00 PM,12,10:00:00 AM,,Yes,4,No,Frequently,WA city outside Whatcom county,1
0,12:00:00 AM,12,2:00:00 PM,,No,5,Yes,Frequently,Other state in US,2
0,12:00:00 AM,12,9:00:00 PM,,Yes,4,No,Rarely,WA city outside Whatcom county,0
15,1:00:00 AM,13,3:00:00 PM,,Yes,4,No,Never,WA city outside Whatcom county,3
0,12:00:00 AM,12,6:00:00 PM,,Yes,5,No,Rarely,WA city outside Whatcom county,3
0,12:30:00 AM,12.5,3:00:00 AM,,No,0,No,Never,WA city outside Whatcom county,6
0,11:00:00 PM,11,7:00:00 AM,,No,3,Yes,Never,Somewhere outside the US,1
8,10:00:00 PM,10,1:00:00 PM,,Yes,4,Yes,Frequently,WA city outside Whatcom county,1
0,10:00:00 PM,10,9:00:00 AM,,No,3,Yes,Frequently,WA city outside Whatcom county,3
0,2:00:00 AM,14,2:00:00 AM,,Yes,13,No,Never,WA city outside Whatcom county,1
0,11:30:00 PM,11.5,10:00:00 PM,,Yes,3,No,Rarely,Whatcom county,1
5,12:00:00 AM,12,5:00:00 PM,,No,2,Yes,Rarely,WA city outside Whatcom county,1
10,10:23:00 PM,10.38,10:00:00 AM,,Yes,3,No,Rarely,WA city outside Whatcom county,1
0,1:00:00 AM,13,10:00:00 PM,,No,1,Yes,Frequently,Other state in US,1
8,11:30:00 PM,11.5,7:00:00 PM,,Yes,3,Yes,Rarely,Other state in US,2
0,11:30:00 PM,11.5,7:00:00 PM,,Yes,4,Yes,Rarely,Other state in US,3
0,11:30:00 PM,11.5,6:00:00 PM,,Yes,7,Yes,Rarely,Other state in US,2
20,1:00:00 AM,13,6:00:00 PM,,Yes,3,No,Rarely,WA city outside Whatcom county,3
32,12:00:00 AM,12,3:00:00 PM,,Yes,8,Yes,Rarely,WA city outside Whatcom county,2
0,11:30:00 PM,11.5,10:00:00 PM,,Yes,3,Yes,Frequently,Other state in US,1
0,11:00:00 PM,11,12:00:00 PM,,No,3,Yes,Frequently,WA city outside Whatcom county,3
0,11:00:00 PM,11,2:00:00 PM,,No,2,Yes,Rarely,Other state in US,2
15,11:00:00 PM,11,1:00:00 PM,,Yes,4,No,Rarely,WA city outside Whatcom county,3
10,10:00:00 PM,10,7:00:00 AM,,Yes,2,No,Rarely,WA city outside Whatcom county,2
10,11:00:00 PM,11,11:00:00 AM,,No,0.5,No,Rarely,WA city outside Whatcom county,2
0,12:00:00 PM,12,5:00:00 PM,,No,3,Yes,Frequently,WA city outside Whatcom county,2
6,10:20:00 PM,10.33,3:00:00 PM,,No,0.3,No,Rarely,Other state in US,1
0,11:30:00 PM,11.5,8:00:00 PM,,Yes,0.75,Yes,Rarely,WA city outside Whatcom county,1
20,12:30:00 AM,12.5,6:00:00 PM,,No,3,Yes,Frequently,Other state in US,3
0,11:30:00 PM,11.5,11:00:00 AM,,Yes,3,No,Rarely,WA city outside Whatcom county,1
0,1:00:00 AM,13,5:00:00 PM,,No,1,No,Rarely,WA city outside Whatcom county,2
15,11:30:00 PM,11.5,7:00:00 PM,,No,6,Yes,Never,WA city outside Whatcom county,1